x,y
5,1302
5.020355,1358
5.04071,1298
5.061065,1239
5.081419,1277
5.101774,1296
5.122129,1224
5.142484,1304
5.162839,1276
5.183194,1331
5.203548,1278
5.223903,1284
5.244258,1224
5.264613,1260
5.284968,1318
5.305323,1212
5.325677,1332
5.346032,1255
5.366387,1261
5.386742,1264
5.407097,1267
5.427452,1296
5.447807,1267
5.468161,1270
5.488516,1203
5.508871,1314
5.529226,1309
5.549581,1231
5.569936,1202
5.59029,1269
5.610645,1277
5.631,1303
5.651355,1256
5.67171,1226
5.692065,1233
5.712419,1190
5.732774,1292
5.753129,1285
5.773484,1220
5.793839,1294
5.814194,1273
5.834549,1341
5.854903,1283
5.875258,1266
5.895613,1306
5.915968,1285
5.936323,1319
5.956678,1274
5.977032,1267
5.997387,1278
6.017742,1335
6.038097,1345
6.058452,1380
6.078807,1319
6.099161,1431
6.119516,1380
6.139871,1361
6.160226,1410
6.180581,1431
6.200936,1483
6.221291,1441
6.241645,1467
6.262,1487
6.282355,1336
6.30271,1360
6.323065,1220
6.34342,1279
6.363774,1256
6.384129,1225
6.404484,1261
6.424839,1252
6.445194,1147
6.465549,1189
6.485903,1143
6.506258,1079
6.526613,1184
6.546968,1180
6.567323,1146
6.587678,1169
6.608032,1165
6.628387,1151
6.648742,1133
6.669097,1115
6.689452,1109
6.709807,1117
6.730162,1098
6.750516,1160
6.770871,1115
6.791226,1148
6.811581,1085
6.831936,1079
6.852291,1068
6.872645,1078
6.893,1100
6.913355,1092
6.93371,1046
6.954065,1049
6.97442,1011
6.994774,1064
7.015129,1055
7.035484,1019
7.055839,1085
7.076194,1078
7.096549,1131
7.116904,1074
7.137258,1036
7.157613,1019
7.177968,1005
7.198323,1023
7.218678,1008
7.239033,1051
7.259387,1010
7.279742,996
7.300097,1016
7.320452,943
7.340807,1017
7.361162,1008
7.381516,998
7.401871,1083
7.422226,1035
7.442581,1031
7.462936,997
7.483291,1010
7.503646,1020
7.524,1057
7.544355,1018
7.56471,1020
7.585065,1031
7.60542,995
7.625775,1024
7.646129,965
7.666484,1076
7.686839,1045
7.707194,1009
7.727549,990
7.747904,1022
7.768258,1033
7.788613,992
7.808968,1113
7.829323,1003
7.849678,1026
7.870033,1054
7.890388,1065
7.910742,1026
7.931097,1055
7.951452,1035
7.971807,993
7.992162,1081
8.012517,1049
8.032871,1086
8.053226,1061
8.073581,1012
8.093936,1044
8.114291,1018
8.134646,1065
8.155,998
8.175355,1056
8.19571,1075
8.216065,1059
8.23642,1047
8.256775,1032
8.27713,1084
8.297484,1046
8.317839,1049
8.338194,1056
8.358549,1016
8.378904,1061
8.399259,1028
8.419613,1109
8.439968,1064
8.460323,1002
8.480678,1086
8.501033,1056
8.521388,1091
8.541742,1055
8.562097,1100
8.582452,1118
8.602807,1136
8.623162,1094
8.643517,1132
8.663872,1110
8.684226,1124
8.704581,1157
8.724936,1086
8.745291,1137
8.765646,1165
8.786001,1240
8.806355,1177
8.82671,1153
8.847065,1241
8.86742,1257
8.887775,1125
8.90813,1101
8.928484,1112
8.948839,983
8.969194,983
8.989549,974
9.009904,997
9.030259,1017
9.050614,992
9.070968,939
9.091323,895
9.111678,969
9.132033,942
9.152388,920
9.172743,946
9.193097,951
9.213452,990
9.233807,943
9.254162,926
9.274517,866
9.294872,909
9.315226,939
9.335581,935
9.355936,891
9.376291,954
9.396646,902
9.417001,893
9.437355,872
9.45771,874
9.478065,901
9.49842,845
9.518775,820
9.53913,891
9.559485,920
9.579839,898
9.600194,857
9.620549,861
9.640904,859
9.661259,826
9.681614,865
9.701968,921
9.722323,820
9.742678,860
9.763033,874
9.783388,818
9.803743,874
9.824097,866
9.844452,868
9.864807,896
9.885162,858
9.905517,798
9.925872,850
9.946227,876
9.966581,851
9.986936,788
10.007291,820
10.027646,852
10.048001,814
10.068356,842
10.08871,876
10.109065,733
10.12942,822
10.149775,805
10.17013,787
10.190485,806
10.210839,756
10.231194,789
10.251549,809
10.271904,863
10.292259,814
10.312614,756
10.332969,765
10.353323,777
10.373678,833
10.394033,802
10.414388,781
10.434743,769
10.455098,840
10.475452,844
10.495807,783
10.516162,837
10.536517,802
10.556872,791
10.577227,789
10.597581,819
10.617936,786
10.638291,825
10.658646,739
10.679001,823
10.699356,810
10.719711,811
10.740065,802
10.76042,833
10.780775,824
10.80113,780
10.821485,805
10.84184,791
10.862194,817
10.882549,786
10.902904,787
10.923259,811
10.943614,799
10.963969,800
10.984323,855
11.004678,778
11.025033,754
11.045388,787
11.065743,828
11.086098,814
11.106453,760
11.126807,763
11.147162,827
11.167517,802
11.187872,758
11.208227,740
11.228582,858
11.248936,813
11.269291,751
11.289646,777
11.310001,785
11.330356,811
11.350711,765
11.371065,765
11.39142,764
11.411775,760
11.43213,797
11.452485,802
11.47284,871
11.493195,788
11.513549,853
11.533904,796
11.554259,728
11.574614,760
11.594969,821
11.615324,835
11.635678,791
11.656033,821
11.676388,798
11.696743,848
11.717098,822
11.737453,876
11.757807,812
11.778162,837
11.798517,821
11.818872,799
11.839227,855
11.859582,820
11.879937,892
11.900291,907
11.920646,831
11.941001,862
11.961356,875
11.981711,890
12.002066,905
12.02242,877
12.042775,852
12.06313,911
12.083485,815
12.10384,959
12.124195,973
12.144549,998
12.164904,992
12.185259,1030
12.205614,988
12.225969,1029
12.246324,1107
12.266678,1132
12.287033,1123
12.307388,1162
12.327743,1169
12.348098,1230
12.368453,1257
12.388808,1270
12.409162,1230
12.429517,1246
12.449872,1216
12.470227,1281
12.490582,1367
12.510937,1362
12.531291,1272
12.551646,1069
12.572001,1009
12.592356,935
12.612711,883
12.633066,874
12.65342,843
12.673775,920
12.69413,793
12.714485,786
12.73484,816
12.755195,794
12.77555,766
12.795904,773
12.816259,768
12.836614,744
12.856969,807
12.877324,714
12.897679,794
12.918033,716
12.938388,737
12.958743,679
12.979098,712
12.999453,680
13.019808,694
13.040162,686
13.060517,709
13.080872,689
13.101227,684
13.121582,667
13.141937,688
13.162292,673
13.182646,667
13.203001,635
13.223356,663
13.243711,708
13.264066,723
13.284421,668
13.304775,675
13.32513,708
13.345485,666
13.36584,697
13.386195,675
13.40655,643
13.426904,622
13.447259,726
13.467614,665
13.487969,684
13.508324,685
13.528679,697
13.549034,672
13.569388,643
13.589743,623
13.610098,699
13.630453,672
13.650808,665
13.671163,678
13.691517,654
13.711872,668
13.732227,672
13.752582,688
13.772937,685
13.793292,708
13.813646,781
13.834001,786
13.854356,766
13.874711,756
13.895066,769
13.915421,726
13.935776,709
13.95613,653
13.976485,679
13.99684,674
14.017195,677
14.03755,628
14.057905,616
14.078259,647
14.098614,615
14.118969,637
14.139324,650
14.159679,639
14.180034,652
14.200388,639
14.220743,624
14.241098,632
14.261453,597
14.281808,636
14.302163,584
14.322518,579
14.342872,629
14.363227,602
14.383582,621
14.403937,612
14.424292,608
14.444647,580
14.465001,619
14.485356,654
14.505711,621
14.526066,599
14.546421,604
14.566776,645
14.58713,645
14.607485,639
14.62784,659
14.648195,623
14.66855,671
14.688905,636
14.70926,641
14.729614,663
14.749969,633
14.770324,634
14.790679,624
14.811034,604
14.831389,617
14.851743,621
14.872098,639
14.892453,612
14.912808,635
14.933163,634
14.953518,618
14.973872,637
14.994227,672
15.014582,631
15.034937,672
15.055292,621
15.075647,610
15.096001,608
15.116356,622
15.136711,571
15.157066,569
15.177421,585
15.197776,565
15.218131,573
15.238485,557
15.25884,609
15.279195,621
15.29955,559
15.319905,592
15.34026,600
15.360614,549
15.380969,616
15.401324,561
15.421679,596
15.442034,594
15.462389,571
15.482743,548
15.503098,603
15.523453,607
15.543808,558
15.564163,633
15.584518,551
15.604873,590
15.625227,554
15.645582,607
15.665937,577
15.686292,619
15.706647,651
15.727002,600
15.747356,639
15.767711,602
15.788066,588
15.808421,581
15.828776,587
15.849131,583
15.869485,571
15.88984,568
15.910195,593
15.93055,599
15.950905,609
15.97126,525
15.991615,561
16.011969,585
16.032324,568
16.052679,548
16.073034,557
16.093389,610
16.113744,578
16.134098,581
16.154453,566
16.174808,558
16.195163,570
16.215518,565
16.235873,541
16.256227,555
16.276582,567
16.296937,576
16.317292,528
16.337647,559
16.358002,579
16.378357,580
16.398711,599
