Plot_Number,Depth_cm,Depth_adjusted,Depth_ad,Type,Ctotal,Corg,Cinorg,Ntotal,C_N,blcorr_d13C,d13C
P21,0-20,F_0-20,0-20,Fringe,33.63,33.63,0,1.37,24.55,-28.16233243,-28.37663976
P21,21-40,F_20-40,20-40,Fringe,30.72,30.72,0,1.09,28.18,-28.0313119,-28.29349923
P21,41-60,F_40-60,40-60,Fringe,29.46,29.46,0,0.93,31.68,-28.17126215,-28.40856447
P21,61-80,F_60-80,60-80,Fringe,28.9,28.9,0,0.8,36.13,-28.62537257,-28.8680299
R1,0-15,F_0-20,0-20,Fringe,30.62,30.62,0,1.41,21.72,-28.02371909,-28.23723892
R1,16-25,F_0-20,0-20,Fringe,25.27,25.27,0,1.01,25.02,-28.48162985,-28.74633717
R1,26-35,F_20-40,20-40,Fringe,10.69,10.65,0.04,0.41,26.07,-28.4267055,-28.67629282
R1,36-57,F_40-60,40-60,Fringe,2.14,2.14,0,0.16,13.38,-28.21557591,-28.26214574
R1,0-15,F_0-20,0-20,Fringe,30.25,30.25,0,1.35,22.41,-27.69521448,-27.9624418
R1,16-30,F_20-40,20-40,Fringe,21.12,21.12,0,0.81,26.07,-28.33986599,-28.57244332
R1,31-40,F_20-40,20-40,Fringe,8.57,8.54,0.03,0.36,23.81,-28.32910154,-28.53443137
R1,41-57,F_40-60,40-60,Fringe,2.41,2.41,0,0.16,15.06,-28.19915594,-28.21170577
R4,0-20,F_0-20,0-20,Fringe,31.64,31.64,0,1.55,20.41,-28.65939456,-28.86141689
R4,21-40,F_20-40,20-40,Fringe,33.35,33.35,0,1.52,21.94,-28.36916984,-28.63513717
R5,0-20,F_0-20,0-20,Fringe,31.64,31.64,0,1.72,18.4,-28.56243654,-28.77989386
R5,21-40,F_20-40,20-40,Fringe,26.19,26.19,0,1.32,19.84,-28.15482774,-28.42552007
R5,41-50,F_40-60,40-60,Fringe,17.37,17.34,0.03,0.69,25.17,-28.25261816,-28.43794549
R5,51-60,F_40-60,40-60,Fringe,28.26,28.26,0,1.18,23.95,-28.89457893,-29.12605376
R5,61-80,F_60-80,60-80,Fringe,29.68,29.68,0,1.41,21.05,-28.55412038,-28.82213521
R5,81-90,F_80-100,80-100,Fringe,16.76,16.73,0.03,0.66,25.39,-28.31237319,-28.54636802
R6,0-20,F_0-20,0-20,Fringe,33.82,33.82,0,1.54,21.96,-28.95589504,-29.15460987
R6,21-27,F_20-40,20-40,Fringe,29.95,29.95,0,1.33,22.52,-28.50302636,-28.76426467
R6,28-45,F_20-40,20-40,Fringe,25.36,25.36,0,1.05,24.15,-28.83138575,-29.09545906
R6,0-20,F_0-20,0-20,Fringe,33.72,33.72,0,1.43,23.58,-28.76053299,-28.9787738
R6,21-40,F_20-40,20-40,Fringe,26.59,26.59,0,1.23,21.62,-28.79818994,-29.05942825
R6,41-47,F_40-60,40-60,Fringe,18.15,18.15,0,0.77,23.57,-28.0865044,-28.30773771
R6,48-54,F_40-60,40-60,Fringe,15.05,15.05,0,0.6,25.08,-28.37677986,-28.65345318
P16,0-20,B_0-20,0-20,Basin,24.97,24.97,0,1.61,15.51,-26.610126,-26.90790431
P16,21-30,B_20-40,20-40,Basin,19.91,19.91,0,1.13,17.62,-27.21916698,-27.44260529
P16,31-50,B_20-40,20-40,Basin,3.5,3.5,0,0.25,14,-28.72289896,-28.97074978
P16,51-65,B_40-60,40-60,Basin,3.25,3.25,0,0.21,15.48,-28.25894187,-28.56317768
P16,66-85,B_60-80,60-80,Basin,3.43,3.43,0,0.25,13.72,-28.46942523,-28.71412605
P16,86-95,B_80-100,80-100,Basin,1.77,1.77,0,0.14,12.64,-28.37339463,-28.44516045
C1,0-20,B_0-20,0-20,Basin,3,3,0,0.23,13.04,-26.9070679,-27.18484372
C1,21-40,B_20-40,20-40,Basin,1.47,1.47,0,0.15,9.8,-24.49233072,-24.66426653
C1,41-60,B_40-60,40-60,Basin,1.33,1.33,0,0.14,9.5,-25.47870149,-25.5159748
C1,61-80,B_60-80,60-80,Basin,1.89,1.89,0,0.16,11.81,-27.3901846,-27.46462792
C1,81-85,B_80-100,80-100,Basin,6.21,6.21,0,0.39,15.92,-28.91126224,-29.08823805
C2,0-20,B_0-20,0-20,Basin,18.58,18.54,0.04,1,18.58,-28.11869119,-28.2778695
C2,21-40,B_20-40,20-40,Basin,5.19,5.19,0,0.36,14.42,-28.72258392,-28.64377973
C2,41-60,B_40-60,40-60,Basin,3.83,3.83,0,0.27,14.19,-27.95061464,-28.27894795
C2,61-70,B_60-80,60-80,Basin,2.66,2.66,0,0.16,16.63,-27.62783331,-27.95018162
C3,0-20,B_0-20,0-20,Basin,21.88,21.88,0,1.11,19.71,-27.51321156,-27.80594988
C3,21-40,B_20-40,20-40,Basin,11.09,11.06,0.03,0.56,19.8,-27.49277619,-27.7851995
C3,41-60,B_40-60,40-60,Basin,6.14,6.11,0.03,0.41,14.98,-26.5401766,-26.80472242
C3,61-80,B_60-80,60-80,Basin,5.16,5.13,0.03,0.34,15.18,-26.8783311,-27.23651968
C3,81-85,B_80-100,80-100,Basin,4.51,4.48,0.03,0.31,14.55,-26.93325089,-27.26450696
C4,0-20,B_0-20,0-20,Basin,4.81,4.78,0.03,0.4,12.03,-27.16468657,-27.54382265
C4,21-40,B_20-40,20-40,Basin,1.57,1.57,0,0.17,9.24,-25.1290217,-25.36042277
C4,41-60,B_40-60,40-60,Basin,1.6,1.6,0,0.17,9.41,-26.22983469,-26.34200826
C4,61-77,B_60-80,60-80,Basin,1.71,1.71,0,0.16,10.69,-27.36984893,-27.56471001
Sinu,0-100,Sinu_0-20,Sinu_0-20,River,0.33,0.29,0.04,0.04,8.25,-25.54519831,-26.01284939
Sinu,0-100,Sinu_0-20,Sinu_0-20,River,0.77,0.75,0.02,0.09,8.56,-26.67443574,-26.90804181
Sinu,0-100,Sinu_0-20,Sinu_0-20,River,0.59,0.57,0.02,0.07,8.43,-27.13628853,-27.33004711
Sand,0-100,Sand_0-20,Sand_0-20,Sand,11.12,0.79,10.33,0.04,278,-3.009933283,-3.307484358
Sand,0-100,Sand_0-20,Sand_0-20,Sand,11.55,1.17,10.37,0.06,192.5,-3.87663078,-4.153864354
Sand,0-100,Sand_0-20,Sand_0-20,Sand,11.43,0.61,10.82,0,0,-2.16005503,-2.434453604
