x,y
5,818
5.020355,853
5.04071,847
5.061065,827
5.081419,804
5.101774,821
5.122129,819
5.142484,851
5.162839,766
5.183194,760
5.203548,748
5.223903,787
5.244258,786
5.264613,731
5.284968,745
5.305323,730
5.325677,774
5.346032,786
5.366387,786
5.386742,717
5.407097,716
5.427452,741
5.447807,726
5.468161,722
5.488516,755
5.508871,707
5.529226,704
5.549581,746
5.569936,750
5.59029,731
5.610645,704
5.631,678
5.651355,705
5.67171,681
5.692065,678
5.712419,724
5.732774,675
5.753129,665
5.773484,688
5.793839,671
5.814194,658
5.834549,658
5.854903,697
5.875258,652
5.895613,664
5.915968,677
5.936323,612
5.956678,607
5.977032,666
5.997387,629
6.017742,621
6.038097,617
6.058452,614
6.078807,641
6.099161,584
6.119516,608
6.139871,588
6.160226,617
6.180581,628
6.200936,562
6.221291,557
6.241645,580
6.262,596
6.282355,592
6.30271,560
6.323065,552
6.34342,570
6.363774,614
6.384129,566
6.404484,505
6.424839,588
6.445194,582
6.465549,570
6.485903,549
6.506258,565
6.526613,556
6.546968,574
6.567323,560
6.587678,548
6.608032,518
6.628387,541
6.648742,528
6.669097,537
6.689452,565
6.709807,547
6.730162,508
6.750516,536
6.770871,554
6.791226,505
6.811581,537
6.831936,558
6.852291,551
6.872645,506
6.893,538
6.913355,507
6.93371,538
6.954065,553
6.97442,509
6.994774,540
7.015129,524
7.035484,542
7.055839,518
7.076194,521
7.096549,485
7.116904,508
7.137258,531
7.157613,486
7.177968,523
7.198323,475
7.218678,470
7.239033,486
7.259387,484
7.279742,528
7.300097,469
7.320452,469
7.340807,476
7.361162,481
7.381516,518
7.401871,514
7.422226,501
7.442581,484
7.462936,527
7.483291,497
7.503646,481
7.524,469
7.544355,484
7.56471,508
7.585065,499
7.60542,493
7.625775,498
7.646129,490
7.666484,498
7.686839,538
7.707194,459
7.727549,522
7.747904,474
7.768258,460
7.788613,462
7.808968,494
7.829323,478
7.849678,480
7.870033,504
7.890388,511
7.910742,489
7.931097,473
7.951452,486
7.971807,458
7.992162,465
8.012517,479
8.032871,444
8.053226,509
8.073581,482
8.093936,513
8.114291,465
8.134646,472
8.155,506
8.175355,497
8.19571,476
8.216065,523
8.23642,461
8.256775,464
8.27713,469
8.297484,480
8.317839,475
8.338194,451
8.358549,506
8.378904,474
8.399259,490
8.419613,487
8.439968,499
8.460323,501
8.480678,491
8.501033,484
8.521388,492
8.541742,488
8.562097,526
8.582452,476
8.602807,500
8.623162,463
8.643517,499
8.663872,492
8.684226,517
8.704581,489
8.724936,457
8.745291,468
8.765646,492
8.786001,480
8.806355,486
8.82671,445
8.847065,502
8.86742,508
8.887775,501
8.90813,490
8.928484,472
8.948839,487
8.969194,506
8.989549,442
9.009904,470
9.030259,438
9.050614,475
9.070968,444
9.091323,442
9.111678,507
9.132033,488
9.152388,482
9.172743,502
9.193097,504
9.213452,466
9.233807,471
9.254162,452
9.274517,486
9.294872,486
9.315226,493
9.335581,461
9.355936,449
9.376291,461
9.396646,470
9.417001,486
9.437355,448
9.45771,479
9.478065,468
9.49842,510
9.518775,477
9.53913,486
9.559485,479
9.579839,475
9.600194,476
9.620549,461
9.640904,471
9.661259,455
9.681614,492
9.701968,461
9.722323,475
9.742678,465
9.763033,517
9.783388,474
9.803743,472
9.824097,472
9.844452,454
9.864807,464
9.885162,442
9.905517,468
9.925872,495
9.946227,494
9.966581,479
