Plot_Number,Depth_cm,Depth_adjusted,Type,Ctotal,Corg,Cinorg,Ntotal,C_N,BulkDens,TOC
P21,0-20,F_0-20,Fringe,33.63,33.63,0,1.37,24.55,0.16,107.616
P21,21-40,F_20-40,Fringe,30.72,30.72,0,1.09,28.18,0.13,79.872
P21,41-60,F_40-60,Fringe,29.46,29.46,0,0.93,31.68,0.16,94.272
P21,61-80,F_60-80,Fringe,28.9,28.9,0,0.8,36.13,0.18,104.04
R1,0-15,F_0-20,Fringe,30.62,30.62,0,1.41,21.72,0.16,97.984
R1,16-25,F_0-20,Fringe,25.27,25.27,0,1.01,25.02,0.16,80.864
R1,26-35,F_20-40,Fringe,10.69,10.65,0.04,0.41,26.07,0.13,27.69
R1,36-57,F_40-60,Fringe,2.14,2.14,0,0.16,13.38,0.16,6.848
R1,0-15,F_0-20,Fringe,30.25,30.25,0,1.35,22.41,0.16,96.8
R1,16-30,F_20-40,Fringe,21.12,21.12,0,0.81,26.07,0.16,67.584
R1,31-40,F_20-40,Fringe,8.57,8.54,0.03,0.36,23.81,0.13,22.204
R1,41-57,F_40-60,Fringe,2.41,2.41,0,0.16,15.06,0.16,7.712
R4,0-20,F_0-20,Fringe,31.64,31.64,0,1.55,20.41,0.16,101.248
R4,21-40,F_20-40,Fringe,33.35,33.35,0,1.52,21.94,0.13,86.71
R5,0-20,F_0-20,Fringe,31.64,31.64,0,1.72,18.4,0.16,101.248
R5,21-40,F_20-40,Fringe,26.19,26.19,0,1.32,19.84,0.13,68.094
R5,41-50,F_40-60,Fringe,17.37,17.34,0.03,0.69,25.17,0.16,55.488
R5,51-60,F_40-60,Fringe,28.26,28.26,0,1.18,23.95,0.16,90.432
R5,61-80,F_60-80,Fringe,29.68,29.68,0,1.41,21.05,0.18,106.848
R6,0-20,F_0-20,Fringe,33.82,33.82,0,1.54,21.96,0.16,108.224
R6,21-27,F_20-40,Fringe,29.95,29.95,0,1.33,22.52,0.13,77.87
R6,28-45,F_20-40,Fringe,25.36,25.36,0,1.05,24.15,0.13,65.936
R6,0-20,F_0-20,Fringe,33.72,33.72,0,1.43,23.58,0.16,107.904
R6,21-40,F_20-40,Fringe,26.59,26.59,0,1.23,21.62,0.13,69.134
R6,41-47,F_40-60,Fringe,18.15,18.15,0,0.77,23.57,0.16,58.08
R6,48-54,F_40-60,Fringe,15.05,15.05,0,0.6,25.08,0.16,48.16
P16,0-20,B_0-20,Basin,24.97,24.97,0,1.61,15.51,1.01,504.394
P16,21-30,B_20-40,Basin,19.91,19.91,0,1.13,17.62,1.01,402.182
P16,31-50,B_20-40,Basin,3.5,3.5,0,0.25,14,1.25,87.5
P16,51-65,B_40-60,Basin,3.25,3.25,0,0.21,15.48,1.06,68.9
P16,66-85,B_60-80,Basin,3.43,3.43,0,0.25,13.72,1.1,75.46
P16,86-95,B_80-100,Basin,1.77,1.77,0,0.14,12.64,0.84,29.736
C1,0-20,B_0-20,Basin,3,3,0,0.23,13.04,1.01,60.6
C1,21-40,B_20-40,Basin,1.47,1.47,0,0.15,9.8,1.25,36.75
C1,41-60,B_40-60,Basin,1.33,1.33,0,0.14,9.5,1.06,28.196
C1,61-80,B_60-80,Basin,1.89,1.89,0,0.16,11.81,1.1,41.58
C1,81-85,B_80-100,Basin,6.21,6.21,0,0.39,15.92,0.84,104.328
C2,0-20,B_0-20,Basin,18.58,18.54,0.04,1,18.58,1.01,374.508
C2,21-40,B_20-40,Basin,5.19,5.19,0,0.36,14.42,1.25,129.75
C2,41-60,B_40-60,Basin,3.83,3.83,0,0.27,14.19,1.06,81.196
C2,61-70,B_60-80,Basin,2.66,2.66,0,0.16,16.63,1.1,58.52
C3,0-20,B_0-20,Basin,21.88,21.88,0,1.11,19.71,1.01,441.976
C3,21-40,B_20-40,Basin,11.09,11.06,0.03,0.56,19.8,1.25,276.5
C3,41-60,B_40-60,Basin,6.14,6.11,0.03,0.41,14.98,1.06,129.532
C3,61-80,B_60-80,Basin,5.16,5.13,0.03,0.34,15.18,1.1,112.86
C3,81-85,B_80-100,Basin,4.51,4.48,0.03,0.31,14.55,0.84,75.264
C4,0-20,B_0-20,Basin,4.81,4.78,0.03,0.4,12.03,1.01,96.556
C4,21-40,B_20-40,Basin,1.57,1.57,0,0.17,9.24,1.25,39.25
C4,41-60,B_40-60,Basin,1.6,1.6,0,0.17,9.41,1.06,33.92
C4,61-77,B_60-80,Basin,1.71,1.71,0,0.16,10.69,1.1,37.62
